-1,city,lat,lng,country
131,George,-33.9500,22.4500,South Africa
132,Grahamstown,-33.2996,26.5200,South Africa
133,Mmabatho,-25.8300,25.6100,South Africa
134,Mahikeng,-25.8652,25.6442,South Africa
135,Bloemfontein,-29.1200,26.2299,South Africa
136,Cape Town,-33.9200,18.4350,South Africa
137,Zambezi,-13.5400,23.1099,Zambia
138,Solwezi,-12.1796,26.4000,Zambia
139,Lusaka,-15.4166,28.2833,Zambia
140,Kaoma,-14.7796,24.8000,Zambia
141,Chipata,-13.6296,32.6400,Zambia
142,Senanga,-16.1196,23.2700,Zambia
143,Sesheke,-17.4695,24.3000,Zambia
144,Chililabombwe,-12.3696,27.8200,Zambia
145,Chingola,-12.5396,27.8500,Zambia
146,Kasempa,-13.4596,25.8200,Zambia
147,Kitwe,-12.8100,28.2200,Zambia
148,Mufulira,-12.5500,28.2600,Zambia
149,Nchelenge,-9.3496,28.7300,Zambia
150,Mazabuka,-15.8600,27.7600,Zambia
151,Lukulu,-14.3896,23.2400,Zambia
152,Kafue,-15.7800,28.1800,Zambia
153,Lundazi,-12.2895,33.1700,Zambia
154,Mansa,-11.2000,28.8900,Zambia
155,Mwinilunga,-11.7396,24.4400,Zambia
156,Mumbwa,-14.9796,27.0700,Zambia
157,Kalabo,-14.9896,22.6800,Zambia
158,Nyimba,-14.5495,30.8100,Zambia
159,Kapiri Mposhi,-13.9696,28.6600,Zambia
160,Kabwe,-14.4400,28.4500,Zambia
161,Ndola,-12.9999,28.6500,Zambia
162,Kasama,-10.1996,31.1799,Zambia
163,Mbala,-8.8400,31.3700,Zambia
164,Kawambwa,-9.7795,29.0800,Zambia
165,Luanshya,-13.1333,28.4000,Zambia
166,Mongu,-15.2796,23.1200,Zambia
167,Mpika,-11.8300,31.4600,Zambia
168,Chinsali,-10.5496,32.0600,Zambia
169,Livingstone,-17.8600,25.8600,Zambia
170,Choma,-16.8095,26.9700,Zambia
171,Plumtree,-20.4795,27.8200,Zimbabwe
172,Kariba,-16.5296,28.8000,Zimbabwe
173,Hwange,-18.3700,26.5000,Zimbabwe
174,Chiredzi,-21.0496,31.6600,Zimbabwe
175,Mazowe,-17.5196,30.9700,Zimbabwe
176,Zvishavane,-20.3296,30.0500,Zimbabwe
177,Shamva,-17.3196,31.5700,Zimbabwe
178,Harare,-17.8178,31.0447,Zimbabwe
179,Kwekwe,-18.9296,29.8000,Zimbabwe
180,Kadoma,-18.3300,29.9099,Zimbabwe
181,Gwanda,-20.9396,29.0100,Zimbabwe
182,Chinhoyi,-17.3596,30.1800,Zimbabwe
183,Beitbridge,-22.2096,29.9900,Zimbabwe
184,Mutare,-18.9700,32.6500,Zimbabwe
185,Gweru,-19.4500,29.8200,Zimbabwe
186,Karoi,-16.8196,29.6800,Zimbabwe
